,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
2227,1,0,1,1,58,1,0,0,0,0,0,0,0,1,20,2632,0,0,0,1,0,1,0,0,0,1,0
652,1,0,1,1,35,1,0,0,0,0,0,0,0,0,31,1888,0,0,0,1,0,0,1,0,0,0,1
33,1,0,0,0,1,1,0,0,0,0,0,0,0,0,33,27,0,0,0,1,1,0,0,1,0,0,0
4118,0,0,0,0,40,1,0,0,1,0,0,0,0,0,803,4333,0,0,1,0,1,0,0,0,1,0,0
44,0,0,1,0,13,1,1,1,1,0,1,1,0,1,831,2441,0,1,0,0,1,0,0,0,0,1,0
6767,1,0,1,0,57,1,0,1,0,0,1,0,0,0,473,4459,0,1,0,0,1,0,0,0,0,1,0
5100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,813,350,1,0,1,0,1,0,0,0,0,1,0
964,1,0,0,0,1,1,0,0,0,0,0,0,0,1,319,159,1,1,0,0,1,0,0,0,0,0,1
5589,0,0,0,0,46,1,0,0,0,1,1,0,0,0,446,4031,1,1,0,0,0,0,1,0,1,0,0
2415,0,1,1,1,40,1,1,0,0,0,0,1,1,1,1179,4710,1,0,1,0,1,0,0,0,1,0,0
6202,1,0,1,1,21,1,1,1,1,0,1,1,0,0,852,3344,1,1,0,0,0,1,0,0,0,0,1
2263,0,0,0,0,6,1,0,1,1,1,1,0,1,1,1245,1738,1,0,1,0,1,0,0,1,0,0,0
5202,1,0,1,1,59,1,1,1,1,0,1,1,1,1,1488,6051,0,0,1,0,0,0,1,0,0,0,1
4450,1,0,0,0,15,1,1,0,1,0,1,0,0,1,517,2379,1,1,0,0,1,0,0,0,1,0,0
5247,0,0,0,0,27,1,1,0,0,0,0,1,1,1,1179,4198,1,0,1,0,1,0,0,0,0,0,1
6306,1,0,0,0,71,1,1,1,1,1,1,1,1,1,1563,6497,0,0,1,0,0,1,0,1,0,0,0
5244,0,0,0,0,45,1,1,0,0,1,0,0,1,1,1079,5002,0,0,1,0,1,0,0,0,1,0,0
2316,1,0,0,0,4,1,0,0,0,0,0,0,0,0,43,328,0,0,0,1,1,0,0,0,0,0,1
2617,0,0,0,0,1,1,0,0,0,0,0,0,0,1,21,15,1,0,0,1,1,0,0,0,0,0,1
26,1,0,1,1,47,1,1,0,1,0,0,1,1,1,1268,5268,1,0,1,0,1,0,0,0,0,1,0
3605,1,0,0,0,34,1,0,0,1,0,0,0,0,1,372,3452,0,1,0,0,1,0,0,0,0,1,0
63,0,0,1,1,18,1,0,0,0,1,1,0,0,1,447,2407,0,1,0,0,0,1,0,0,1,0,0
1044,0,0,0,0,8,1,0,1,0,0,1,0,0,0,444,1489,0,1,0,0,0,1,0,1,0,0,0
3660,1,0,0,0,7,0,0,0,0,1,1,0,0,1,199,1002,0,1,0,0,0,1,0,0,1,0,0
5360,1,0,1,1,5,1,1,1,0,1,0,0,0,1,985,1505,1,0,1,0,1,0,0,0,0,1,0
2656,0,0,0,0,39,1,0,0,0,0,1,0,1,0,530,3861,0,1,0,0,0,1,0,0,0,1,0
1454,1,0,1,1,29,1,0,0,0,0,0,0,0,1,42,1887,0,0,0,1,1,0,0,0,0,0,1
227,0,0,1,0,1,1,0,0,0,0,0,1,0,0,463,225,1,1,0,0,1,0,0,0,0,0,1
6984,1,0,0,1,31,0,0,0,0,0,0,0,0,0,92,2122,0,1,0,0,1,0,0,0,1,0,0
3080,1,0,0,0,2,0,0,0,0,0,0,0,0,0,78,108,0,1,0,0,1,0,0,0,0,0,1
3317,1,0,1,0,63,1,0,1,1,0,1,1,0,0,731,5118,0,1,0,0,0,1,0,0,1,0,0
5035,1,0,0,0,20,1,0,0,0,0,0,1,0,0,876,3357,0,0,1,0,1,0,0,0,0,1,0
3184,0,0,1,0,71,1,1,0,1,1,1,1,1,1,961,5787,0,1,0,0,0,0,1,0,1,0,0
2833,0,0,0,0,66,1,0,1,1,1,0,0,0,1,566,4905,0,1,0,0,0,0,1,1,0,0,0
3539,1,0,0,0,8,1,0,0,0,0,0,0,0,1,308,1472,1,1,0,0,1,0,0,0,0,0,1
969,0,0,0,0,2,1,1,0,0,0,0,1,1,1,1208,770,1,0,1,0,1,0,0,0,0,1,0
4603,1,0,1,0,3,0,0,1,0,0,1,0,0,0,191,515,0,1,0,0,1,0,0,0,0,0,1
5751,0,0,0,0,47,1,0,0,0,0,0,0,0,0,34,2514,0,0,0,1,0,0,1,0,1,0,0
2662,1,0,0,0,2,0,0,0,0,1,0,1,1,1,361,458,1,1,0,0,1,0,0,0,0,1,0
4094,1,0,0,0,1,1,0,0,0,0,1,0,0,0,787,335,0,0,1,0,1,0,0,0,0,1,0
6034,0,0,0,0,7,1,0,0,0,0,0,0,0,0,34,595,0,0,0,1,0,1,0,0,0,0,1
3813,1,0,1,1,69,1,1,0,1,1,0,1,1,1,1375,6287,0,0,1,0,0,0,1,0,0,1,0
2387,1,0,0,0,5,1,1,0,1,1,0,1,1,0,1381,1705,0,0,1,0,1,0,0,0,0,1,0
4224,0,0,1,0,71,1,0,0,0,0,0,0,0,0,21,3098,0,0,0,1,0,0,1,0,0,0,1
6375,0,0,0,0,1,1,0,0,1,0,0,0,0,1,793,339,1,0,1,0,1,0,0,0,1,0,0
3567,0,0,1,1,14,1,0,0,1,0,1,0,1,1,1086,2773,1,0,1,0,1,0,0,0,1,0,0
4148,0,0,0,0,29,1,0,0,0,0,0,0,0,0,16,1799,0,0,0,1,1,0,0,0,1,0,0
2646,1,0,0,0,56,1,0,0,1,1,1,1,1,1,936,5165,0,1,0,0,0,0,1,0,1,0,0
6626,1,1,1,0,6,1,0,0,0,1,0,1,1,1,1203,1752,1,0,1,0,1,0,0,0,0,1,0
252,1,1,1,0,1,0,0,0,1,0,0,1,0,0,246,117,1,1,0,0,1,0,0,0,0,1,0
5435,0,0,1,1,46,1,0,0,0,1,1,0,1,0,1112,5020,0,0,1,0,0,1,0,1,0,0,0
4554,1,0,0,0,20,1,0,1,1,1,1,1,1,1,1435,3857,0,0,1,0,1,0,0,1,0,0,0
3975,0,1,0,0,20,1,1,0,0,0,0,0,1,1,1011,3444,1,0,1,0,1,0,0,0,1,0,0
4847,0,1,0,0,37,1,1,0,0,0,0,0,0,1,832,4258,1,0,1,0,1,0,0,0,0,1,0
5719,0,0,1,1,24,1,0,0,0,0,0,0,0,1,23,1594,0,0,0,1,0,0,1,0,0,0,1
2818,1,0,1,1,29,1,0,1,0,0,0,1,1,0,1181,4151,1,0,1,0,1,0,0,0,1,0,0
1702,0,0,1,0,21,1,1,1,0,1,0,1,1,1,1363,3852,1,0,1,0,1,0,0,1,0,0,0
4428,1,0,1,1,19,1,1,0,0,1,1,1,1,0,1342,3721,1,0,1,0,1,0,0,0,0,1,0
4808,0,0,0,0,54,1,0,1,0,1,1,1,1,0,912,5052,0,1,0,0,0,0,1,0,0,1,0
3790,1,0,0,0,2,1,0,0,0,0,0,0,0,0,15,72,1,0,0,1,0,1,0,0,1,0,0
5722,0,1,1,0,27,1,1,1,0,0,1,1,1,1,1361,4271,1,0,1,0,1,0,0,1,0,0,0
4041,1,0,0,0,46,0,0,1,0,1,1,1,1,1,558,4288,0,1,0,0,0,0,1,1,0,0,0
2094,0,0,0,0,18,1,0,0,0,0,0,0,0,0,22,1362,0,0,0,1,1,0,0,0,0,0,1
2843,0,0,1,1,52,1,0,0,0,0,0,0,0,0,26,2576,0,0,0,1,0,0,1,0,0,0,1
641,0,0,1,1,43,1,0,0,0,0,0,1,0,0,482,4058,1,1,0,0,1,0,0,0,0,1,0
6140,0,0,0,0,3,1,0,0,0,0,0,0,0,0,28,239,0,0,0,1,1,0,0,0,0,0,1
3882,1,0,0,0,4,1,0,0,0,0,0,0,0,1,301,771,0,1,0,0,1,0,0,0,1,0,0
4405,1,0,1,1,6,1,0,0,1,0,0,0,1,1,966,1560,1,0,1,0,1,0,0,0,1,0,0
297,1,1,1,0,35,1,1,0,0,1,0,1,1,1,1297,4599,0,0,1,0,1,0,0,0,0,1,0
303,0,0,1,1,68,0,0,0,1,1,1,1,1,0,549,4951,0,1,0,0,0,0,1,0,1,0,0
2406,0,0,0,0,5,1,0,0,1,0,0,1,1,1,1213,1625,1,0,1,0,1,0,0,0,0,1,0
5816,0,0,0,0,3,1,0,0,0,0,0,0,0,0,297,582,0,1,0,0,1,0,0,0,0,1,0
3154,0,1,0,0,4,1,0,0,1,0,0,0,0,0,763,1185,0,0,1,0,1,0,0,0,0,1,0
1839,0,0,0,0,4,1,1,0,0,0,0,0,0,1,98,568,0,0,0,1,0,0,1,0,1,0,0
4384,0,0,1,0,2,1,0,0,1,1,0,0,0,0,894,733,1,0,1,0,1,0,0,1,0,0,0
4306,1,0,1,1,40,1,1,1,1,0,1,1,1,1,1471,5130,0,0,1,0,1,0,0,0,1,0,0
655,1,0,0,0,10,1,0,0,0,0,1,1,1,1,1190,2256,0,0,1,0,1,0,0,0,1,0,0
4139,1,1,0,0,24,1,1,0,1,0,0,0,0,1,910,3777,0,0,1,0,1,0,0,0,0,1,0
4686,0,1,0,0,72,1,1,1,1,1,1,0,1,1,1421,6396,0,0,1,0,0,0,1,1,0,0,0
4775,0,0,1,0,24,1,0,0,1,1,0,1,1,1,1267,4011,1,0,1,0,1,0,0,0,1,0,0
240,0,0,0,0,72,1,1,0,1,1,1,1,1,0,1027,5976,0,1,0,0,0,0,1,1,0,0,0
783,0,0,0,0,1,1,0,0,0,0,1,0,0,1,416,210,1,1,0,0,1,0,0,0,0,1,0
1354,0,0,0,0,18,1,1,0,0,0,1,1,0,1,1060,3355,1,0,1,0,1,0,0,0,0,1,0
1018,1,0,0,0,4,0,0,0,0,0,1,0,1,1,243,723,0,1,0,0,1,0,0,0,0,1,0
4912,1,1,0,0,36,1,1,1,0,0,0,1,0,1,1110,4469,1,0,1,0,1,0,0,0,0,1,0
977,0,0,0,0,11,1,1,0,0,0,0,0,0,0,812,2288,0,0,1,0,1,0,0,0,0,1,0
809,1,0,0,0,1,1,0,0,0,0,0,0,0,1,706,288,1,0,1,0,1,0,0,0,0,1,0
6755,1,0,0,0,42,1,1,0,0,1,0,0,0,0,898,4533,0,0,1,0,1,0,0,0,0,1,0
5036,0,1,1,0,16,1,1,0,0,0,0,0,1,1,1002,3024,1,0,1,0,1,0,0,0,1,0,0
257,1,0,0,0,50,1,1,1,1,1,1,1,1,0,1534,5746,0,0,1,0,0,1,0,0,1,0,0
893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84,53,1,1,0,0,1,0,0,0,0,1,0
5936,0,0,1,1,38,1,0,0,0,0,0,0,0,1,28,2064,0,0,0,1,0,0,1,0,0,0,1
4366,1,1,1,1,24,1,1,1,0,0,0,0,0,1,897,3590,0,0,1,0,1,0,0,0,0,1,0
3589,1,0,1,1,31,1,1,0,0,0,0,0,1,0,537,3558,0,1,0,0,1,0,0,1,0,0,0
5162,1,0,0,1,8,1,0,0,0,0,0,0,0,0,18,708,0,0,0,1,1,0,0,1,0,0,0
5229,0,1,1,0,43,1,1,0,0,1,1,1,1,1,1424,5164,1,0,1,0,0,1,0,0,0,1,0
5167,0,0,1,0,57,1,0,1,1,0,1,1,0,1,722,4962,0,1,0,0,0,0,1,0,1,0,0
3288,0,0,1,1,13,1,0,0,0,0,0,0,0,0,46,1071,0,0,0,1,0,0,1,0,0,0,1
6698,1,0,0,0,40,1,0,0,1,0,1,0,1,1,1085,4633,0,0,1,0,0,1,0,0,1,0,0
2132,1,0,1,1,23,1,0,0,0,0,0,0,0,0,22,1468,0,0,0,1,0,1,0,0,0,0,1
6243,0,0,1,1,72,1,1,1,1,1,0,1,1,1,967,5817,0,1,0,0,0,0,1,0,1,0,0
5520,0,0,0,0,55,1,1,1,0,1,0,0,0,1,980,5191,0,0,1,0,0,1,0,0,1,0,0
1357,1,0,1,0,48,1,1,1,1,1,0,1,1,1,1495,5533,0,0,1,0,1,0,0,1,0,0,0
1561,1,0,0,0,1,1,1,0,0,0,0,0,0,1,806,347,1,0,1,0,1,0,0,0,0,1,0
6054,0,0,1,1,36,1,1,0,1,1,0,1,0,1,1232,4609,1,0,1,0,1,0,0,1,0,0,0
2251,1,0,0,0,11,1,0,0,0,1,0,1,1,1,702,1993,0,1,0,0,1,0,0,0,0,1,0
5474,0,0,0,0,1,1,1,0,0,0,0,1,0,1,987,424,0,0,1,0,1,0,0,0,0,1,0
2471,0,0,1,0,53,1,1,0,1,0,0,1,1,1,1250,5464,1,0,1,0,1,0,0,0,1,0,0
3133,1,0,1,0,70,0,0,0,1,1,1,0,1,1,397,4708,0,1,0,0,0,1,0,1,0,0,0
2024,1,0,0,0,12,1,0,0,0,1,0,1,1,0,1202,2741,0,0,1,0,0,1,0,0,0,1,0
4687,1,0,1,0,22,1,0,0,0,1,0,1,1,1,1182,3646,1,0,1,0,1,0,0,0,1,0,0
2986,0,0,1,1,55,1,0,0,0,0,0,0,0,1,696,4805,0,0,1,0,0,0,1,0,1,0,0
2042,0,1,0,0,28,1,1,0,1,1,1,0,0,0,617,3602,0,1,0,0,1,0,0,1,0,0,0
4905,0,0,1,1,58,1,0,0,0,0,0,0,0,1,26,2705,0,0,0,1,0,0,1,0,0,0,1
2876,1,0,0,0,19,1,0,0,0,0,0,0,0,1,23,1349,0,0,0,1,0,1,0,0,1,0,0
2669,0,0,0,0,19,1,1,1,1,0,0,0,1,1,1191,3516,1,0,1,0,1,0,0,0,0,1,0
4756,1,0,0,0,31,1,0,1,1,1,1,1,0,1,760,3814,0,1,0,0,1,0,0,1,0,0,0
5728,0,0,0,0,13,1,1,0,1,1,1,0,0,0,1081,2672,1,0,1,0,1,0,0,0,0,1,0
4098,1,0,0,0,1,1,0,0,0,0,0,0,0,1,33,27,1,0,0,1,1,0,0,0,0,0,1
7018,1,0,1,1,1,1,0,0,0,0,0,0,0,1,728,310,1,0,1,0,1,0,0,0,0,0,1
3806,0,1,0,0,18,1,0,0,1,0,0,0,0,1,778,3005,0,0,1,0,1,0,0,0,0,1,0
6842,1,0,0,0,13,1,0,0,0,0,0,0,0,1,28,1025,0,0,0,1,0,1,0,0,0,0,1
3475,0,0,1,1,2,1,0,0,0,0,0,0,0,0,35,84,0,0,0,1,0,1,0,0,0,0,1
1092,1,0,1,0,70,1,0,1,1,1,1,0,0,0,627,5156,0,1,0,0,0,0,1,0,1,0,0
5867,1,1,1,0,44,1,0,0,0,0,0,0,0,1,16,2223,0,0,0,1,0,0,1,0,1,0,0
124,0,0,1,1,4,1,0,0,0,0,0,0,0,0,46,263,0,0,0,1,1,0,0,0,0,0,1
4152,1,0,1,0,65,1,1,1,0,1,1,0,1,0,830,5371,0,1,0,0,0,0,1,1,0,0,0
6882,0,1,0,0,71,1,1,1,1,0,1,1,0,1,1274,6258,0,0,1,0,0,1,0,0,1,0,0
4489,0,0,1,1,64,1,1,0,1,0,0,0,0,1,436,4578,0,1,0,0,0,1,0,1,0,0,0
2922,0,0,1,0,28,1,0,1,0,0,0,1,1,1,1138,4120,1,0,1,0,1,0,0,0,0,0,1
2516,0,1,0,0,16,1,1,0,0,0,0,1,1,1,1216,3299,1,0,1,0,1,0,0,0,0,1,0
6038,0,0,1,1,70,1,1,1,1,1,1,1,1,1,1532,6391,1,0,1,0,0,0,1,1,0,0,0
1553,0,0,1,1,39,1,0,0,0,1,1,0,0,1,930,4421,0,0,1,0,1,0,0,1,0,0,0
3482,1,0,0,0,19,1,0,0,0,0,0,0,0,1,305,2260,0,1,0,0,1,0,0,1,0,0,0
2886,0,0,0,0,60,1,0,1,0,1,1,1,1,1,1374,5930,0,0,1,0,1,0,0,1,0,0,0
598,1,0,1,0,51,1,1,0,1,0,0,0,1,1,1100,5199,0,0,1,0,0,1,0,0,1,0,0
75,0,1,0,0,56,1,1,1,1,1,0,1,1,0,1478,5896,0,0,1,0,0,1,0,0,0,1,0
1339,1,0,1,0,66,1,1,0,1,1,0,1,1,1,1375,6246,1,0,1,0,1,0,0,0,1,0,0
1416,0,0,1,1,58,0,0,0,0,1,1,1,1,1,469,4454,0,1,0,0,0,0,1,0,1,0,0
4772,0,0,1,1,69,1,0,0,1,1,1,0,0,0,526,4968,0,1,0,0,0,1,0,1,0,0,0
1649,0,0,0,0,27,1,0,0,1,0,1,0,0,1,482,3134,0,1,0,0,1,0,0,0,0,0,1
5652,0,0,0,0,1,1,0,0,1,0,0,0,0,1,348,175,0,1,0,0,1,0,0,0,0,1,0
3206,0,0,0,0,6,1,0,0,0,0,0,0,0,0,29,541,0,0,0,1,1,0,0,0,0,0,1
4024,0,0,0,0,7,0,0,0,0,0,0,0,0,0,93,814,0,1,0,0,1,0,0,1,0,0,0
2829,1,1,0,0,8,1,0,0,0,0,0,0,0,1,709,1724,1,0,1,0,1,0,0,0,0,1,0
149,1,0,1,1,15,1,0,0,1,1,1,0,1,1,705,2578,0,1,0,0,1,0,0,0,0,0,1
3001,1,0,0,0,9,1,0,0,0,0,0,0,0,0,37,790,0,0,0,1,1,0,0,0,0,0,1
1557,1,0,0,0,12,1,1,1,1,0,1,0,0,1,666,2199,0,1,0,0,1,0,0,0,0,1,0
3931,0,0,1,0,25,1,0,1,1,0,1,0,1,1,736,3568,0,1,0,0,1,0,0,0,0,0,1
453,0,0,1,1,28,1,0,0,0,0,0,0,1,1,921,3874,1,0,1,0,1,0,0,0,0,1,0
4427,0,0,0,0,49,1,0,0,0,1,1,1,1,0,1294,5363,0,0,1,0,0,0,1,0,1,0,0
1832,1,1,1,0,57,0,0,0,0,0,0,1,1,1,302,4105,1,1,0,0,1,0,0,0,0,1,0
3250,1,0,1,0,11,1,0,0,0,0,0,0,0,1,40,798,0,0,0,1,0,1,0,0,0,0,1
5663,0,0,1,1,37,1,1,0,0,0,0,1,1,1,1193,4534,0,0,1,0,1,0,0,0,0,1,0
808,1,0,1,0,40,1,1,0,1,0,0,1,1,1,1306,4953,1,0,1,0,1,0,0,0,0,1,0
2002,1,0,0,0,54,0,0,1,0,0,1,1,0,0,309,4033,0,1,0,0,0,0,1,0,1,0,0
3353,1,0,1,0,12,1,0,0,1,0,0,0,1,1,996,2463,0,0,1,0,1,0,0,0,1,0,0
3824,1,0,0,0,4,1,0,0,0,0,0,0,1,1,465,970,0,1,0,0,1,0,0,0,0,0,1
1671,1,0,1,1,66,1,0,1,1,1,0,1,1,1,1339,6212,0,0,1,0,0,1,0,1,0,0,0
1119,1,0,1,1,70,0,0,1,0,1,1,1,1,0,533,4977,0,1,0,0,0,0,1,1,0,0,0
4353,0,0,0,0,1,1,0,0,0,1,0,0,0,1,805,346,1,0,1,0,1,0,0,0,0,1,0
810,1,0,0,0,58,1,1,0,1,1,0,1,1,1,1341,5845,1,0,1,0,0,1,0,1,0,0,0
1129,1,1,0,0,47,1,1,0,0,0,0,1,0,1,1016,4819,0,0,1,0,1,0,0,0,1,0,0
834,0,1,0,0,4,1,0,0,0,0,0,1,0,1,877,1114,1,0,1,0,1,0,0,0,0,1,0
6124,0,0,1,1,57,1,0,1,0,1,1,0,0,1,530,4522,0,1,0,0,0,1,0,0,0,0,1
5413,0,0,0,0,15,1,0,0,0,1,0,1,1,1,1168,3216,0,0,1,0,1,0,0,0,1,0,0
6732,0,0,0,0,24,1,1,0,0,0,1,0,1,1,1084,3895,0,0,1,0,1,0,0,0,0,1,0
1971,0,0,0,0,20,1,0,0,0,0,0,0,0,1,16,1457,0,0,0,1,0,1,0,0,1,0,0
1235,1,1,1,0,61,1,1,0,1,1,1,1,0,1,1248,5867,0,0,1,0,0,1,0,0,0,0,1
1225,0,0,1,0,16,0,0,0,0,0,1,1,1,1,375,2152,1,1,0,0,1,0,0,0,0,1,0
4051,0,0,1,0,72,1,1,0,1,0,0,1,1,1,1236,6161,0,0,1,0,0,0,1,0,1,0,0
2344,0,1,0,0,14,0,0,1,0,1,1,0,0,0,238,1961,0,1,0,0,0,0,1,0,0,0,1
6227,1,0,0,0,2,1,0,0,0,0,0,0,0,0,326,400,1,1,0,0,1,0,0,1,0,0,0
4352,1,0,1,1,64,1,1,1,1,1,0,0,0,1,1129,5818,0,0,1,0,1,0,0,0,0,1,0
2273,1,0,1,0,30,1,0,0,0,0,0,0,0,0,25,1756,0,0,0,1,0,1,0,0,1,0,0
1729,1,0,1,0,64,1,1,1,1,1,0,0,0,0,1082,5696,0,0,1,0,0,1,0,1,0,0,0
6785,1,0,0,0,61,1,1,1,0,1,1,1,1,1,1498,6166,1,0,1,0,0,0,1,0,1,0,0
2181,0,0,1,1,50,1,1,0,1,1,1,1,1,1,978,4990,0,1,0,0,0,1,0,0,1,0,0
1027,0,0,0,0,47,1,1,1,0,1,0,1,0,0,1186,5200,0,0,1,0,0,1,0,0,1,0,0
3082,1,0,0,0,51,1,1,1,0,0,1,0,0,0,541,4382,0,1,0,0,0,1,0,0,1,0,0
5205,0,0,0,0,37,1,1,1,1,1,0,0,0,0,1117,4573,0,0,1,0,1,0,0,1,0,0,0
349,0,1,1,0,64,1,0,1,1,1,0,0,1,0,1227,6011,0,0,1,0,0,1,0,1,0,0,0
452,1,0,1,0,60,0,0,0,1,1,1,1,1,1,547,4682,0,1,0,0,1,0,0,1,0,0,0
662,1,0,0,0,1,1,0,0,0,0,0,0,0,0,30,24,0,0,0,1,1,0,0,0,0,0,1
172,1,0,1,0,14,1,0,0,1,1,1,1,1,0,939,2736,0,1,0,0,0,0,1,0,0,0,1
1405,0,0,0,0,1,1,1,0,0,0,0,0,0,0,827,360,1,0,1,0,1,0,0,0,0,1,0
5857,0,0,1,1,17,1,1,0,0,1,0,1,0,0,1058,3163,1,0,1,0,1,0,0,0,0,1,0
4250,1,0,0,0,63,1,1,1,1,1,1,1,0,0,1365,6068,0,0,1,0,0,1,0,0,1,0,0
4550,0,0,1,1,72,1,1,0,0,0,0,0,0,1,116,3700,0,0,0,1,0,0,1,1,0,0,0
422,1,0,0,1,29,1,1,0,1,1,1,0,1,0,1292,4249,0,0,1,0,0,1,0,0,1,0,0
3017,0,0,1,1,18,1,0,1,1,0,1,0,0,1,573,2602,0,1,0,0,0,1,0,0,0,0,1
3326,1,1,0,0,38,1,0,0,1,1,1,1,0,1,718,4056,1,1,0,0,0,1,0,0,1,0,0
881,1,1,0,0,26,1,0,0,0,0,0,0,0,0,15,1614,0,0,0,1,0,1,0,0,1,0,0
